Country,Latitude,Longitude,Year,Month,Day,Secchi (m),NLA *,State,Water Body,County (Borough/Parrish),GNIS ID,GNIS Feature Name,GNIS Class,GNIS County,GNIS Latitude,GNIS Longitude,GNIS Elevation (m)
USA,,,1998,5,16,0.5842,,Ohio,Bartu Pond,Ashtabula,35004.1,Unnamed (Bartu Pond),,,,,
USA,,,1998,5,30,0.635,,Ohio,Bartu Pond,Ashtabula,35004.1,Unnamed (Bartu Pond),,,,,
USA,,,1998,6,20,0.762,,Ohio,Bartu Pond,Ashtabula,35004.1,Unnamed (Bartu Pond),,,,,
USA,,,1998,6,30,0.6096,,Ohio,Bartu Pond,Ashtabula,35004.1,Unnamed (Bartu Pond),,,,,
USA,,,1998,7,11,0.5588,,Ohio,Bartu Pond,Ashtabula,35004.1,Unnamed (Bartu Pond),,,,,
USA,,,1998,7,29,0.508,,Ohio,Bartu Pond,Ashtabula,35004.1,Unnamed (Bartu Pond),,,,,
USA,,,1998,8,11,0.4572,,Ohio,Bartu Pond,Ashtabula,35004.1,Unnamed (Bartu Pond),,,,,
USA,,,1998,8,28,0.4318,,Ohio,Bartu Pond,Ashtabula,35004.1,Unnamed (Bartu Pond),,,,,
USA,,,1998,9,6,0.5842,,Ohio,Bartu Pond,Ashtabula,35004.1,Unnamed (Bartu Pond),,,,,
USA,,,1998,9,23,0.6858,,Ohio,Bartu Pond,Ashtabula,35004.1,Unnamed (Bartu Pond),,,,,
USA,,,1998,10,9,0.762,,Ohio,Bartu Pond,Ashtabula,35004.1,Unnamed (Bartu Pond),,,,,
USA,,,1998,10,25,0.7874,,Ohio,Bartu Pond,Ashtabula,35004.1,Unnamed (Bartu Pond),,,,,
USA,38,-84,2001,7,25,1.524,,Ohio,Stevens Lake,Brown,35008.1,Unnamed (Stevens Lake),,,,,
USA,,,1995,5,23,0.3,,Ohio,Sebald Pond #1,Butler,35009.1,Unnamed (Sebald Pond #1),,,,,
USA,,,1995,8,15,0.38,,Ohio,Sebald Pond #1,Butler,35009.1,Unnamed (Sebald Pond #1),,,,,
USA,,,1995,9,26,0.17,,Ohio,Sebald Pond #1,Butler,35009.1,Unnamed (Sebald Pond #1),,,,,
USA,,,1981,7,10,0.61,,Ohio,Snyder Park Lake,Clark,35012.1,Unnamed (Snyder Park Lake),,,,,
USA,38,-84.16,2001,7,25,0.6096,,Ohio,Owensville Fishing Lk,Clermont,35013.1,Unnamed (Owensville Fishing Lake),,,,,
