Country,Latitude,Longitude,Year,Month,Day,Secchi (m),NLA *,State,Water Body,County (Borough/Parrish),GNIS ID,GNIS Feature Name,GNIS Class,GNIS County,GNIS Latitude,GNIS Longitude,GNIS Elevation (m)
USA,,,1996,7,1,7.5,,Vermont,Riche Lake?,Rutland,45011.1,Unnamed (Riche Lake?),,,,,
USA,,,1996,7,1,8,,Vermont,Riche Lake?,Rutland,45011.1,Unnamed (Riche Lake?),,,,,
USA,44.25,-73.28,1972-1975,,,2.1336,,Vermont,Lake Champlain,Addison,946367,Lake Champlain,Lake,Addison,44.2498834,-73.2790429,29
USA,44.25,-73.28,1972-1975,,,2.54,,Vermont,Lake Champlain,Addison,946367,Lake Champlain,Lake,Addison,44.2498834,-73.2790429,29
USA,44.25,-73.28,1972-1975,,,3.6576,,Vermont,Lake Champlain,Addison,946367,Lake Champlain,Lake,Addison,44.2498834,-73.2790429,29
USA,43.83,-73.38,1972-1975,,,0.4572,,Vermont,Lake Champlain,Addison,946367,Lake Champlain,Lake,Addison,44.2498834,-73.2790429,29
USA,43.83,-73.38,1972-1975,,,1.2192,,Vermont,Lake Champlain,Addison,946367,Lake Champlain,Lake,Addison,44.2498834,-73.2790429,29
USA,43.83,-73.38,1972-1975,,,1.3208,,Vermont,Lake Champlain,Addison,946367,Lake Champlain,Lake,Addison,44.2498834,-73.2790429,29
USA,44.18,-73.38,1995,7,2,3.6576,,Vermont,Lake Champlain,Addison,946367,Lake Champlain,Lake,Addison,44.2498834,-73.2790429,29
USA,43.85,-73.38,1995,7,4,1,,Vermont,Lake Champlain,Addison,946367,Lake Champlain,Lake,Addison,44.2498834,-73.2790429,29
USA,43.95,-73.4,1995,7,9,0.89,,Vermont,Lake Champlain,Addison,946367,Lake Champlain,Lake,Addison,44.2498834,-73.2790429,29
USA,43.85,-73.38,1996,7,5,1,,Vermont,Lake Champlain,Addison,946367,Lake Champlain,Lake,Addison,44.2498834,-73.2790429,29
USA,44.18,-73.38,1996,7,5,2.75,,Vermont,Lake Champlain,Addison,946367,Lake Champlain,Lake,Addison,44.2498834,-73.2790429,29
USA,44.54,-73.34,1997,6,28,2,,Vermont,Lake Champlain,Addison,946367,Lake Champlain,Lake,Addison,44.2498834,-73.2790429,29
USA,44.54,-73.34,1997,6,29,1.9,,Vermont,Lake Champlain,Addison,946367,Lake Champlain,Lake,Addison,44.2498834,-73.2790429,29
USA,44.54,-73.34,1997,7,2,4.5,,Vermont,Lake Champlain,Addison,946367,Lake Champlain,Lake,Addison,44.2498834,-73.2790429,29
USA,43.85,-73.38,1998,6,29,1.1,,Vermont,Lake Champlain,Addison,946367,Lake Champlain,Lake,Addison,44.2498834,-73.2790429,29
USA,43.85,-73.38,1998,7,3,1.5,,Vermont,Lake Champlain,Addison,946367,Lake Champlain,Lake,Addison,44.2498834,-73.2790429,29
USA,43.85,-73.38,1998,7,5,2,,Vermont,Lake Champlain,Addison,946367,Lake Champlain,Lake,Addison,44.2498834,-73.2790429,29
USA,43.85,-73.38,1998,7,10,3.5,,Vermont,Lake Champlain,Addison,946367,Lake Champlain,Lake,Addison,44.2498834,-73.2790429,29
USA,43.85,-73.33,1999,7,3,2.2,,Vermont,Lake Champlain,Addison,946367,Lake Champlain,Lake,Addison,44.2498834,-73.2790429,29
USA,43.85,-73.33,2000,7,1,5.5,,Vermont,Lake Champlain,Addison,946367,Lake Champlain,Lake,Addison,44.2498834,-73.2790429,29
USA,43.85,-73.33,2000,7,2,2,,Vermont,Lake Champlain,Addison,946367,Lake Champlain,Lake,Addison,44.2498834,-73.2790429,29
USA,43.85,-73.33,2001,7,9,4.5,,Vermont,Lake Champlain,Addison,946367,Lake Champlain,Lake,Addison,44.2498834,-73.2790429,29
USA,43.85,-73.33,2001,7,13,1.9,,Vermont,Lake Champlain,Addison,946367,Lake Champlain,Lake,Addison,44.2498834,-73.2790429,29
USA,43.85,-73.33,2001,7,15,6.09,,Vermont,Lake Champlain,Addison,946367,Lake Champlain,Lake,Addison,44.2498834,-73.2790429,29
USA,43.85,-73.33,2002,6,29,2.59,,Vermont,Lake Champlain,Addison,946367,Lake Champlain,Lake,Addison,44.2498834,-73.2790429,29
USA,43.85,-73.33,2002,7,2,6,,Vermont,Lake Champlain,Addison,946367,Lake Champlain,Lake,Addison,44.2498834,-73.2790429,29
