"","lake","month","date","depth","temp","pH","do_mgl","cond","do_sat","tempF"
"1","Otsego Lake","Jan","1/29/1988",0.1,0.39,7.88,12.7,0.3,NA,32.702
"2","Otsego Lake","Nov","11/8/2016",2,10.51,8.17,9.93,0.289,89.1,50.918
"3","Otsego Lake","Nov","11/8/2016",4,10.5,8.16,9.91,0.29,88.9,50.9
"4","Otsego Lake","Nov","11/8/2016",6,10.5,8.13,9.87,0.29,88.5,50.9
"5","Otsego Lake","Nov","11/8/2016",8,10.5,8.09,9.81,0.29,88,50.9
"6","Otsego Lake","Nov","11/8/2016",10,10.5,8.04,9.78,0.289,87.6,50.9
"7","Otsego Lake","Nov","11/8/2016",12,10.48,7.76,9.66,0.29,86.5,50.864
"8","Otsego Lake","Nov","11/8/2016",16,10.42,7.74,9.11,0.29,81.4,50.756
"9","Otsego Lake","Nov","11/8/2016",20,9,7.49,8.06,0.306,69.7,48.2
"10","Otsego Lake","Nov","11/8/2016",25,7,7.38,7.94,0.314,65.4,44.6
"11","Otsego Lake","Nov","11/8/2016",30,6.15,7.26,7.56,0.315,60.5,43.07
"12","Otsego Lake","Nov","11/8/2016",35,5.3,7.16,6.47,0.317,50.4,41.54
"13","Otsego Lake","Nov","11/8/2016",40,4.91,7.09,4.94,0.321,38.6,40.838
"14","Otsego Lake","Nov","11/8/2016",42,4.85,7.02,4.3,0.324,32.6,40.73
"15","Otsego Lake","Nov","11/8/2016",44,4.76,6.96,3.8,0.327,29.6,40.568
"16","Otsego Lake","Nov","11/8/2016",46,4.75,6.9,3.96,0.327,31,40.55
"17","Otsego Lake","Nov","11/8/2016",48,4.75,6.82,4.49,0.327,35.3,40.55
"18","Otsego Lake","Feb","2/5/1988",0.1,0.32,7.12,12.2,0.273,NA,32.576
"19","Otsego Lake","Oct","10/5/2016",2,18.35,8.1,9.11,0.274,97.1,65.03
"20","Otsego Lake","Oct","10/5/2016",4,18.34,8.06,9.11,0.274,97,65.012
"21","Otsego Lake","Oct","10/5/2016",6,18.34,8.06,9.1,0.274,96.8,65.012
"22","Otsego Lake","Oct","10/5/2016",8,18.34,8.08,9.08,0.274,96.8,65.012
"23","Otsego Lake","Oct","10/5/2016",10,18.33,8.08,9.08,0.274,96.6,64.994
"24","Otsego Lake","Oct","10/5/2016",12,16,8.09,8.88,0.3,90.3,60.8
"25","Otsego Lake","Oct","10/5/2016",14,9.96,8.04,9.22,0.31,81.3,49.928
"26","Otsego Lake","Oct","10/5/2016",16,8.33,7.96,9.12,0.31,77.9,46.994
