infected,N,rain,temp,pop
21,42,0.0654238858260214,0.129308607196435,1
27,40,0.603914227103814,0.274828486144543,1
11,18,0.28407001006417,0.396443584002554,1
25,30,0.794875962426886,0.664862336590886,1
25,36,0.29362175334245,0.36710477177985,1
24,32,0.382694642292336,0.101058644708246,1
10,10,0.7570366919972,0.554546440485865,1
25,37,0.60719346627593,0.882546872831881,1
30,45,0.57402751641348,0.877627597656101,1
26,47,0.0476585219148546,0.36136466707103,1
14,25,0.121265915920958,0.332155097974464,2
14,35,0.3168501900509,0.746656332630664,2
22,45,0.190460269339383,0.974665829911828,2
32,45,0.722578215412796,0.673309967620298,2
17,41,0.0964382498059422,0.223040469456464,2
24,39,0.374099597800523,0.123278308194131,2
15,45,0.0434340250212699,0.0157158067449927,2
21,22,0.95022297766991,0.273951310664415,2
22,27,0.958666604943573,0.377859262283891,2
16,27,0.131911135278642,0.0823346921242774,2
24,29,0.795830278657377,0.41730569046922,3
8,16,0.101132710697129,0.947342047467828,3
8,27,0.0407009907066822,0.484934978187084,3
25,31,0.72079196292907,0.253728178562596,3
15,36,0.149065459379926,0.707220800220966,3
13,22,0.389601697679609,0.641348720062524,3
44,48,0.924285061424598,0.613764161244035,3
31,45,0.225725640309975,0.276397647801787,3
36,44,0.818404057528824,0.76283321599476,3
19,34,0.221980938222259,0.412254909519106,3
23,31,0.706026927335188,0.932002260349691,4
22,46,0.545327278552577,0.19852012116462,4
10,15,0.796682341489941,0.905358121730387,4
20,50,0.342262730468065,0.25143288471736,4
14,34,0.57695138710551,0.365811082534492,4
31,47,0.940761657198891,0.210488562472165,4
4,19,0.386514798970893,0.198400308610871,4
17,46,0.33922361349687,0.356889511225745,4
5,24,0.033746937289834,0.824617790058255,4
16,29,0.347378687001765,0.562326089479029,4
9,24,0.489655641140416,0.087650693487376,5
12,30,0.297431538579985,0.698897561524063,5
14,32,0.579145305324346,0.285207353066653,5
7,21,0.547949861967936,0.166258264100179,5
15,30,0.616825918434188,0.802097479114309,5
6,25,0.479156371904537,0.152714295545593,5
