Age,FL
2,389
2,358
2,362
2,308
2,352
3,305
3,364
3,318
3,346
3,383
3,372
3,305
3,345
3,365
3,370
3,358
3,338
3,355
3,340
3,345
3,360
3,319
3,363
3,365
3,365
3,351
3,345
3,446
3,355
3,390
3,355
3,443
3,372
3,367
3,303
3,395
3,355
3,370
3,390
3,355
3,400
3,360
3,355
3,260
3,390
3,420
3,407
3,405
3,380
3,329
3,380
3,357
3,360
3,369
3,475
3,344
3,380
3,368
3,352
3,403
3,325
3,375
3,359
3,376
3,362
3,386
3,377
3,299
3,395
3,378
3,355
3,337
3,337
3,394
3,365
3,350
3,365
3,358
3,354
3,390
3,380
3,302
3,382
3,367
3,359
3,321
3,404
3,372
3,399
3,434
3,393
3,307
3,335
3,400
3,385
3,342
3,400
3,377
3,405
3,394
3,405
3,360
3,400
3,361
3,415
3,430
3,335
3,395
3,374
3,431
3,315
3,411
3,365
3,375
3,393
3,364
3,364
3,376
3,364
3,420
3,354
3,385
3,334
3,344
3,344
3,364
3,399
3,342
3,360
3,336
3,360
3,346
3,356
3,332
3,384
3,337
3,369
3,319
3,330
3,358
3,362
3,398
3,326
3,368
3,373
3,345
3,354
3,374
3,359
3,343
3,356
3,350
3,350
3,345
3,385
3,349
3,340
3,347
3,370
3,331
3,351
3,380
3,293
3,398
3,366
3,366
3,370
3,356
3,347
3,420
3,314
3,363
3,363
3,360
3,378
3,374
3,387
3,354
3,378
3,345
3,385
3,381
3,345
3,350
3,348
3,341
3,373
3,350
3,342
3,365
3,414
3,356
3,354
3,341
3,375
3,353
3,400
3,338
3,395
3,344
3,335
3,376
3,340
3,330
3,365
3,330
3,380
3,385
3,345
3,350
3,378
3,348
3,363
3,357
3,397
3,366
3,356
3,357
3,345
3,315
3,364
3,368
3,353
3,412
3,322
3,387
3,350
3,460
3,370
3,385
3,390
3,361
3,315
3,290
3,379
3,413
3,384
3,350
3,346
3,370
3,385
3,375
3,376
3,430
3,354
3,373
3,342
3,302
3,321
4,407
4,375
4,390
4,362
4,400
4,423
4,390
4,397
4,390
4,364
4,420
4,388
4,391
4,425
4,346
4,420
4,448
4,400
4,374
4,394
4,390
4,385
4,415
4,415
4,390
4,335
4,366
4,405
4,406
4,370
4,363
4,396
4,385
4,405
4,401
4,380
4,405
4,391
4,401
4,405
4,403
4,421
4,469
4,395
4,450
4,410
4,445
4,455
4,468
4,383
4,400
4,387
4,450
4,420
4,485
4,396
4,450
4,395
4,404
4,421
4,440
4,395
4,432
4,385
4,415
4,405
4,397
4,413
4,380
4,441
4,422
4,440
4,365
4,430
4,445
4,442
4,475
4,385
4,400
4,420
4,480
4,410
4,408
4,443
4,383
4,415
4,435
4,483
4,415
4,454
4,428
4,459
4,414
4,366
4,428
4,420
4,444
4,421
4,446
4,395
4,460
4,441
4,406
4,421
4,412
4,410
4,426
4,416
4,380
4,362
4,440
4,455
4,434
4,409
4,398
4,471
4,475
4,398
4,503
4,349
4,415
4,435
4,444
4,443
4,340
4,422
4,454
4,429
4,414
4,415
4,371
4,360
4,392
4,415
4,433
4,432
4,395
4,409
4,435
4,378
4,495
4,415
4,398
4,386
4,413
4,382
4,423
4,437
4,414
4,360
4,425
4,439
4,385
4,340
4,416
4,344
4,418
4,291
4,396
4,483
4,405
4,425
4,300
4,417
4,315
4,365
4,359
4,425
4,425
4,473
4,405
4,417
4,400
4,479
4,435
4,427
4,405
4,400
4,327
4,400
4,466
4,366
4,500
4,291
4,332
4,400
4,357
4,470
4,370
4,415
4,365
4,440
4,336
4,423
4,380
4,372
4,394
4,356
4,204
4,357
4,365
4,470
4,479
4,418
4,460
4,453
4,362
4,420
4,525
4,420
4,378
4,379
4,414
4,370
4,435
4,388
4,425
4,405
4,453
4,429
4,308
4,329
4,311
4,308
4,472
4,497
4,352
4,425
4,328
4,346
4,405
4,375
4,322
4,425
4,420
4,437
4,379
4,374
4,410
4,371
4,404
4,400
4,407
4,321
4,341
4,342
4,470
4,361
4,389
4,318
4,362
4,372
4,351
4,330
4,341
4,454
4,324
4,379
4,400
4,387
4,385
4,431
4,430
4,460
4,434
4,446
4,480
4,435
4,450
4,313
4,342
4,337
4,386
4,425
4,305
4,385
4,395
4,434
4,450
4,409
4,432
4,375
4,401
4,405
4,367
4,400
4,396
4,450
4,490
4,410
4,400
4,395
4,410
4,390
4,405
4,415
4,395
4,389
4,427
4,395
4,327
4,361
4,430
4,353
4,430
4,356
4,388
4,406
4,380
4,400
4,329
4,385
4,455
4,428
4,420
4,416
4,380
4,445
4,409
4,459
4,320
4,407
4,385
4,405
4,393
4,399
4,396
4,404
4,408
4,403
4,385
4,430
4,406
4,444
4,420
4,405
4,400
4,438
4,380
4,412
4,416
4,405
4,441
4,392
4,408
4,416
4,443
4,415
4,347
4,425
4,405
4,351
4,479
4,432
4,385
4,402
4,420
4,395
4,409
4,400
4,455
4,335
4,392
4,385
4,465
4,405
4,408
4,409
4,404
4,400
4,336
4,422
4,390
4,440
4,392
4,392
4,357
4,407
4,421
4,372
4,357
4,399
4,368
4,425
4,430
4,399
4,394
4,435
4,395
4,392
4,308
4,405
4,396
4,450
4,366
4,394
4,443
4,440
4,479
4,415
4,415
4,410
4,420
4,425
4,369
4,420
4,481
4,465
4,380
4,402
4,365
4,363
4,338
4,354
4,337
4,365
4,381
4,423
4,488
4,393
4,444
4,358
4,426
4,395
4,430
4,379
4,390
4,393
4,443
4,388
4,370
4,404
4,375
4,368
4,385
4,338
4,415
4,413
4,407
4,439
4,407
4,380
4,400
4,384
4,365
4,362
4,375
4,407
4,379
4,346
4,434
4,422
4,435
4,383
4,412
4,369
4,378
4,390
4,372
4,389
