Water,County,Region,Date,GearCd,IF_Key,Length,Weight,SpeciesCd,Name,Age,IF_ID,NYTME,NYTMN,Altitude
Canadarago Lake,Otsego,4,6/5/2001 0:00:00,4G0189,444742,287,340,617,Yellow Perch,5,444742,4995,47402,1270
Canadarago Lake,Otsego,4,6/5/2001 0:00:00,4G0189,444746,272,280,617,Yellow Perch,4,444746,4995,47402,1270
Canadarago Lake,Otsego,4,6/5/2001 0:00:00,4G0189,444787,270,250,617,Yellow Perch,4,444787,4995,47402,1270
Canadarago Lake,Otsego,4,6/5/2001 0:00:00,4G0189,444740,285,335,617,Yellow Perch,4,444740,4995,47402,1270
Canadarago Lake,Otsego,4,6/5/2001 0:00:00,4G0189,444791,471,950,626,Walleye,5,444791,4995,47402,1270
Canadarago Lake,Otsego,4,6/5/2001 0:00:00,4G0189,444761,245,230,617,Yellow Perch,4,444761,4995,47402,1270
Canadarago Lake,Otsego,4,6/5/2001 0:00:00,4G0189,444784,288,300,617,Yellow Perch,5,444784,4995,47402,1270
Canadarago Lake,Otsego,4,6/5/2001 0:00:00,4G0189,444788,422,660,626,Walleye,7,444788,4995,47402,1270
Canadarago Lake,Otsego,4,6/5/2001 0:00:00,4G0189,444790,450,830,626,Walleye,7,444790,4995,47402,1270
Canadarago Lake,Otsego,4,6/5/2001 0:00:00,4G0189,444792,461,800,626,Walleye,8,444792,4995,47402,1270
Canadarago Lake,Otsego,4,6/5/2001 0:00:00,4G0189,444756,293,330,617,Yellow Perch,6,444756,4995,47402,1270
Canadarago Lake,Otsego,4,6/5/2001 0:00:00,4G0189,444734,225,160,617,Yellow Perch,4,444734,4995,47402,1270
Canadarago Lake,Otsego,4,8/2/2001 0:00:00,4G0189,445409,422,770,626,Walleye,6,445409,4995,47402,1270
Canadarago Lake,Otsego,4,8/2/2001 0:00:00,4G0189,445407,506,1270,626,Walleye,7,445407,4995,47402,1270
Canadarago Lake,Otsego,4,8/2/2001 0:00:00,4G0189,445406,577,1870,626,Walleye,8,445406,4995,47402,1270
Canadarago Lake,Otsego,4,8/2/2001 0:00:00,4G0189,445365,438,800,626,Walleye,6,445365,4995,47402,1270
Canadarago Lake,Otsego,4,8/2/2001 0:00:00,4G0189,445364,426,650,626,Walleye,6,445364,4995,47402,1270
Canadarago Lake,Otsego,4,8/2/2001 0:00:00,4G0189,445363,506,1160,626,Walleye,8,445363,4995,47402,1270
Canadarago Lake,Otsego,4,8/2/2001 0:00:00,4G0189,445362,452,920,626,Walleye,7,445362,4995,47402,1270
Canadarago Lake,Otsego,4,8/2/2001 0:00:00,4G0189,445361,417,710,626,Walleye,6,445361,4995,47402,1270
Canadarago Lake,Otsego,4,8/2/2001 0:00:00,4G0189,445408,491,1160,626,Walleye,7,445408,4995,47402,1270
Canadarago Lake,Otsego,4,8/2/2001 0:00:00,4G0189,445393,426,760,626,Walleye,4,445393,4995,47402,1270
Canadarago Lake,Otsego,4,8/2/2001 0:00:00,4G0189,445395,439,860,626,Walleye,6,445395,4995,47402,1270
Canadarago Lake,Otsego,4,8/2/2001 0:00:00,4G0189,445396,446,910,626,Walleye,5,445396,4995,47402,1270
Canadarago Lake,Otsego,4,8/2/2001 0:00:00,4G0189,445397,406,625,626,Walleye,5,445397,4995,47402,1270
Canadarago Lake,Otsego,4,8/2/2001 0:00:00,4G0189,445398,437,810,626,Walleye,7,445398,4995,47402,1270
Canadarago Lake,Otsego,4,8/2/2001 0:00:00,4G0189,445399,438,730,626,Walleye,6,445399,4995,47402,1270
Canadarago Lake,Otsego,4,8/2/2001 0:00:00,4G0189,445400,423,700,626,Walleye,5,445400,4995,47402,1270
Canadarago Lake,Otsego,4,8/2/2001 0:00:00,4G0189,445401,435,840,626,Walleye,5,445401,4995,47402,1270
Canadarago Lake,Otsego,4,8/2/2001 0:00:00,4G0189,445402,426,720,626,Walleye,5,445402,4995,47402,1270
Canadarago Lake,Otsego,4,8/2/2001 0:00:00,4G0189,445331,426,730,626,Walleye,5,445331,4995,47402,1270
Canadarago Lake,Otsego,4,8/2/2001 0:00:00,4G0189,445332,320,280,626,Walleye,2,445332,4995,47402,1270
Canadarago Lake,Otsego,4,8/2/2001 0:00:00,4G0189,445333,358,380,626,Walleye,2,445333,4995,47402,1270
Canadarago Lake,Otsego,4,8/2/2001 0:00:00,4G0189,445334,392,560,626,Walleye,4,445334,4995,47402,1270
